code,name,id,level,parent.id,geometry.type,ward.parent.id,ward,subcounty.parent.id,subcounty,county.parent.id,county,mflcode,geometry.coordinates_1,geometry.coordinates_2
Keipsl11548,Makere Dispensary,iLRHtzPs2TX,7,dqEdLVCaeZc,Point,QL97RhNUuDE,Chewani ,RP7IFVrrOux,Galole ,HfVjCurKxh2,Tana River ,11548,40.00067,-1.3372
Keipsl15989,Makhanga Dispensary,EA1aTbWA3uJ,7,EcLRy09GyFh,Point,x7pj22WoZjz,Tinderet ,A1gVLZ5bHiS,Tongaren ,HfVjCurKxh2,Bungoma ,15989,34.88781,0.80807
Keipsl15990,Makhonge Health Centre,gMRmOJ3B9Xl,7,J5ZGqqmKPvu,Point,qpfgNhIEBiC,Kamukuywa ,A1gVLZ5bHiS,Kimilili ,HfVjCurKxh2,Bungoma ,15990,34.79694,0.82135
Keipsl12454,Makima Dispensary,nylUU33ouME,7,yvuv7DgHK19,Point,BxmdeEJdFPQ,Makima ,h8m60u0XlJf,Mbeere South ,HfVjCurKxh2,Embu ,12454,37.58597,-0.79798
324,Makima Ward,yvuv7DgHK19,6,BxmdeEJdFPQ,NA,BxmdeEJdFPQ,Makima ,h8m60u0XlJf,Mbeere South ,HfVjCurKxh2,Embu ,324,NULL,
Keipsl15116,Makimeny Dispensary,lvopvlzPYiq,7,OfialI3e3eW,Point,CuYWuE3om1k,Kong'Asis ,sphpbVxO6pn,Chepalungu ,HfVjCurKxh2,Bomet ,15116,35.30113,-0.84045
1388,Makina Ward,tXYCdHzTXvY,6,AIoQor5h6tb,NA,AIoQor5h6tb,Makina ,DW4iKNGrY42,Kibra ,HfVjCurKxh2,Nairobi ,1388,NULL,
Keipsl11961,Makindu Catholic Dispensary,yRfyroOawwn,7,y1iBJBEjkwZ,Point,g4bSELwoGds,Makindu ,M5TOiiYVWwN,Kibwezi West ,HfVjCurKxh2,Makueni ,11961,37.82855,-2.27009
Keipsl19890,Makindu Centre of Hope (DICE),iYZQMhpIeA8,7,y1iBJBEjkwZ,Point,g4bSELwoGds,Makindu ,M5TOiiYVWwN,Kibwezi West ,HfVjCurKxh2,Makueni ,19890,37.818297,-2.280217
Keipsl13759,Makindu Dispensary,hzrslJ6dHOS,7,IoZEOwSDv1R,Point,DQyke6s9nP2,Chemelil ,RP2cXnuZq8a,Muhoroni ,HfVjCurKxh2,Kisumu ,13759,35.12573,-0.14086
Keipsl12455,Makindu District Hospital,jygWzwe5HPd,7,y1iBJBEjkwZ,Point,g4bSELwoGds,Makindu ,M5TOiiYVWwN,Kibwezi West ,HfVjCurKxh2,Makueni ,12455,37.82463,-2.28436
431,Makindu Ward,y1iBJBEjkwZ,6,g4bSELwoGds,NA,g4bSELwoGds,Makindu ,M5TOiiYVWwN,Kibwezi West ,HfVjCurKxh2,Makueni ,431,NULL,
Keipsl18432,Makongeni Dispensary,oj3hfzFSYsI,7,sxphLZhtp0F,Point,hGCITYrNuby,Kamenu ,A0BC4zSGPwM,Thika Town ,HfVjCurKxh2,Kiambu ,18432,37.1083,-1.0622
